Date,Equity MarketValue,Equity Count,Bond MarketValue,Bond Count,Commodity MarketValue,Commodity Count,FX MarketValue,FX Count,Derivatives MarketValue,Derivatives Count
2025-06-02,56234883.31,39,55161183.26,7,9657262.00,2,0.00,0,0.00,0
2025-06-03,61642554.28,42,55471240.42,7,10346808.00,2,0.00,0,0.00,0
2025-06-04,65723140.31,42,55546903.87,7,10401873.00,2,0.00,0,0.00,0
2025-06-05,67887469.39,44,55545582.96,7,10354494.00,2,0.00,0,0.00,0
2025-06-06,67945750.09,44,55485112.52,7,10239952.00,2,0.00,0,0.00,0
2025-06-09,67101862.73,44,45554599.09,7,10305964.00,2,0.00,0,0.00,0
2025-06-10,74334593.74,44,69235365.04,7,10319323.00,2,0.00,0,0.00,0
2025-06-11,75322582.57,45,69341921.19,7,10368418.00,2,0.00,0,0.00,0
2025-06-12,84846437.36,52,69647601.18,7,12566201.36,3,0.00,0,0.00,0
2025-06-13,92510313.23,51,72755554.11,7,13161336.21,3,0.00,0,0.00,0
2025-06-16,96747244.77,51,73567788.45,7,17666228.12,4,0.00,0,0.00,0
2025-06-17,97585759.28,53,73867853.47,7,17677677.37,4,0.00,0,0.00,0
2025-06-18,101573095.72,53,73896803.63,7,17585092.24,4,0.00,0,0.00,0
2025-06-19,104349462.30,55,73896803.63,7,17583931.32,4,0.00,0,0.00,0
2025-06-20,110252395.07,57,73869364.41,7,17592749.48,4,0.00,0,0.00,0
2025-06-23,90240377.41,62,55498532.34,7,13321423.05,4,0.00,0,0.00,0
2025-06-24,100905295.52,64,55702974.90,7,12186993.09,4,0.00,0,0.00,0
2025-06-25,104224746.50,65,55961080.50,7,12186851.75,3,0.00,0,0.00,0
2025-06-26,107570031.98,67,56237647.45,7,12435321.39,2,0.00,0,0.00,0
2025-06-27,115059180.28,69,57136289.31,7,12242112.58,2,0.00,0,0.00,0
2025-06-30,122734209.30,69,57406801.61,7,12372704.41,2,0.00,0,0.00,0
2025-07-01,129559998.45,82,54905323.37,7,10464263.11,2,0.00,0,0.00,0
2025-07-02,145456193.83,78,54813051.15,6,10619502.91,2,0.00,0,0.00,0
2025-07-03,160128244.86,81,54685815.22,6,11600429.16,2,0.00,0,0.00,0
2025-07-04,160844258.26,79,54685815.22,6,11600429.16,2,0.00,0,0.00,0
2025-07-07,160823489.13,82,54429538.74,6,11578411.52,2,0.00,0,0.00,0
2025-07-08,169786645.32,80,54410229.55,6,11500977.87,2,0.00,0,0.00,0
2025-07-09,163055379.40,81,54640662.59,6,11612156.13,2,0.00,0,0.00,0
2025-07-10,163182602.69,77,54654313.61,6,11672120.85,2,0.00,0,0.00,0
2025-07-11,150639161.02,77,54348795.01,6,11871627.73,2,0.00,0,0.00,0
2025-07-14,151540749.73,75,54293782.24,6,11876729.06,2,0.00,0,0.00,0
2025-07-15,157476232.11,76,54122414.93,6,12253646.39,2,0.00,0,0.00,0
2025-07-16,157951034.36,78,54192129.51,6,12379028.83,2,0.00,0,0.00,0
2025-07-17,69897743.80,77,31504420.56,6,4347678.15,2,0.00,0,0.00,0
2025-07-18,70525191.01,78,31526912.26,6,4441536.99,2,0.00,0,0.00,0
2025-07-21,73376123.26,80,35184378.92,6,4485072.54,2,0.00,0,0.00,0
2025-07-22,72991436.72,80,35258572.08,6,4543126.68,2,0.00,0,-7.08,5
2025-07-23,80691330.58,81,35210402.34,6,4492518.33,2,0.00,0,-21.63,5
2025-07-24,81070985.31,81,35189732.67,6,4479022.62,2,0.00,0,-586.50,5
2025-07-25,81948904.17,82,35250148.83,6,4425195.48,2,0.00,0,-408.80,5
2025-07-28,88701511.56,81,35176427.35,6,4418003.46,2,0.00,0,-941.40,5
2025-07-29,94380625.07,81,35172804.65,6,4419278.79,2,0.00,0,-709.65,5
2025-07-30,99035344.06,82,24008585.97,6,4358047.89,2,0.00,0,-260.10,5
2025-07-31,97980691.22,82,24008096.09,5,4377985.41,2,0.00,0,16523.27,12
2025-08-01,95266980.71,83,25128821.01,5,4419602.72,2,0.00,0,109128.41,30
2025-08-04,113439235.27,82,68159277.91,6,6713173.62,3,0.00,0,-12641.93,31
2025-08-05,119738694.93,84,77969690.96,6,11384058.80,4,0.00,0,-14329.99,34
2025-08-06,119459446.46,86,82100090.52,6,12234893.92,4,5101554.00,2,-14553.02,40
2025-08-07,109838472.05,85,82074484.91,6,12390243.07,4,5101422.00,2,-38725.03,46
2025-08-08,62137517.21,83,42943083.44,6,9102088.47,4,5088510.00,2,-30459.22,42
2025-08-11,51822965.23,81,36907809.09,3,11348147.66,4,5070594.00,2,-93766.77,24
2025-08-12,51978422.79,80,36841595.33,3,11872561.99,5,5094633.00,2,-102606.29,24
2025-08-13,59625671.26,80,23886158.87,3,12451754.05,5,5105990.70,2,-103292.80,24
2025-08-14,62479210.11,82,23888526.60,2,10828258.53,5,5088879.00,2,-107463.15,27
2025-08-15,66179779.61,83,23895654.75,2,11309472.42,5,5110284.00,2,-103382.45,33
2025-08-18,66311089.68,84,23902780.82,2,11287672.15,5,5091921.00,2,-102671.15,33
2025-08-19,66120916.45,84,23902778.74,2,11207050.64,5,5092314.00,2,-95158.72,32
2025-08-20,65256413.59,86,23907530.84,2,11344634.00,5,5097408.00,2,-94671.01,38
2025-08-21,65797190.41,86,24048085.64,4,11785731.01,5,5067330.00,2,-91378.09,38
2025-08-22,136496997.13,85,24068612.00,4,29062106.33,5,5119815.00,2,-41185.00,41
2025-08-25,132145539.99,85,24067515.78,4,21920166.52,5,5081532.00,2,-44179.68,36
2025-08-26,132650842.64,84,24069335.22,4,22082992.47,5,5094183.00,2,-44208.42,36
2025-08-27,133658706.11,85,24971598.39,4,22165336.03,5,5091997.50,2,-95578.78,40
2025-08-28,136686490.23,85,24074781.48,4,22241958.80,5,5110980.00,2,-108171.57,45
2025-08-29,145089768.09,85,23998546.50,4,22049901.00,5,5114785.50,2,-100008.37,49
2025-09-01,145899111.14,85,23998546.50,4,22049901.00,5,5114785.50,2,-99988.21,49
2025-09-02,158977378.58,87,23897289.63,4,22471020.49,5,5078310.00,2,-135197.36,56
2025-09-03,165259262.37,87,23904546.08,4,22645854.44,5,5086011.00,2,-152028.22,56
2025-09-04,166211850.80,87,23910181.54,4,22627922.36,5,5076060.00,2,-171194.01,56
2025-09-05,168785635.52,87,23932814.72,4,22866579.47,5,5108838.00,2,-180588.53,59
2025-09-08,171282472.39,88,23077180.93,4,22972039.46,5,5118897.00,2,-188909.61,59
2025-09-09,173707631.37,88,23074760.77,4,22957775.64,5,5106810.00,2,-190197.20,59
2025-09-10,172521734.47,88,23079741.60,4,23285771.24,5,5105796.00,2,-187101.92,59
2025-09-11,175225291.43,88,25780839.46,4,23317574.78,5,5119329.00,2,-201035.58,59
2025-09-12,175910355.54,88,25780342.63,4,23533053.70,5,5111064.00,2,-210202.24,59
